concentration,声速 - 传感器 1 (50627),温度 - 传感器 1 (50627)
156.0,1635.05,48.71
156.0,1635.05,48.71
156.0,1635.06,48.71
156.0,1635.04,48.7
156.0,1635.06,48.7
156.0,1635.1,48.7
156.0,1635.08,48.69
156.0,1635.08,48.69
156.0,1635.1,48.69
156.0,1635.07,48.69
156.0,1635.05,48.69
156.0,1635.04,48.69
156.0,1635.11,48.68
156.0,1635.08,48.68
156.0,1635.07,48.68
156.0,1635.12,48.68
156.0,1635.03,48.68
156.0,1635.04,48.68
156.0,1635.07,48.68
156.0,1635.08,48.68
156.0,1635.05,48.67
156.0,1635.04,48.68
156.0,1635.1,48.67
156.0,1635.08,48.67
156.0,1635.07,48.67
156.0,1635.05,48.67
156.0,1635.1,48.67
156.0,1635.08,48.67
156.0,1635.04,48.67
156.0,1635.02,48.67
156.0,1635.02,48.68
156.0,1635.07,48.67
156.0,1635.1,48.67
156.0,1635.03,48.68
156.0,1635.04,48.67
156.0,1635.1,48.68
156.0,1635.12,48.68
156.0,1635.08,48.68
156.0,1635.04,48.68
156.0,1635.08,48.68
156.0,1635.1,48.68
156.0,1635.08,48.68
156.0,1635.1,48.68
156.0,1635.12,48.69
156.0,1635.1,48.68
156.0,1635.13,48.69
156.0,1635.11,48.68
156.0,1635.14,48.69
156.0,1635.08,48.69
156.0,1635.19,48.68
156.0,1635.14,48.69
156.0,1635.09,48.69
156.0,1635.18,48.69
156.0,1635.14,48.69
156.0,1635.19,48.69
156.0,1635.25,48.69
156.0,1635.15,48.7
156.0,1635.16,48.7
156.0,1635.1,48.7
156.0,1635.2,48.7
156.0,1635.2,48.7
156.0,1635.13,48.7
156.0,1635.13,48.71
156.0,1635.17,48.71
156.0,1635.27,48.71
156.0,1635.18,48.71
156.0,1635.18,48.71
156.0,1635.18,48.72
156.0,1635.28,48.72
156.0,1635.21,48.72
156.0,1635.25,48.72
156.0,1635.24,48.73
156.0,1635.2,48.73
156.0,1635.2,48.73
156.0,1635.21,48.74
156.0,1635.23,48.74
156.0,1635.26,48.74
156.0,1635.26,48.75
156.0,1635.25,48.75
156.0,1635.3,48.75
156.0,1635.26,48.75
156.0,1635.29,48.76
156.0,1635.22,48.76
156.0,1635.32,48.76
156.0,1635.28,48.77
156.0,1635.32,48.77
156.0,1635.34,48.78
156.0,1635.3,48.78
156.0,1635.34,48.78
156.0,1635.29,48.79
156.0,1635.32,48.79
156.0,1635.33,48.79
156.0,1635.39,48.8
156.0,1635.35,48.8
156.0,1635.38,48.87
156.0,1635.5,48.94
156.0,1635.59,49.02
156.0,1635.58,49.1
156.0,1635.67,49.18
156.0,1635.73,49.27
156.0,1635.79,49.35
156.0,1635.83,49.44
156.0,1635.9,49.51
156.0,1635.91,49.57
156.0,1635.92,49.57
156.0,1635.87,49.5
156.0,1635.81,49.37
156.0,1635.72,49.2
156.0,1635.55,49.0
156.0,1635.36,48.74
156.0,1635.15,48.45
156.0,1634.95,48.14
156.0,1634.58,47.79
156.0,1634.35,47.41
156.0,1634.05,47.01
156.0,1633.68,46.58
156.0,1633.32,46.13
156.0,1632.95,45.68
156.0,1632.57,45.17
156.0,1632.11,44.66
156.0,1631.62,44.14
156.0,1631.15,43.6
156.0,1630.59,43.05
156.0,1630.08,42.49
156.0,1629.51,41.93
156.0,1629.01,41.36
156.0,1628.37,40.8
156.0,1627.78,40.22
156.0,1627.13,39.65
156.0,1626.51,39.07
156.0,1625.81,38.5
156.0,1625.11,37.92
156.0,1624.45,37.35
156.0,1623.69,36.79
156.0,1623.02,36.23
156.0,1622.3,35.67
156.0,1621.65,35.11
156.0,1620.82,34.57
156.0,1620.1,34.03
156.0,1619.33,33.49
156.0,1618.48,32.95
156.0,1617.74,32.41
156.0,1616.96,31.88
156.0,1616.13,31.36
156.0,1615.37,30.84
156.0,1614.46,30.33
156.0,1613.7,29.82
156.0,1612.84,29.32
156.0,1612.02,28.82
156.0,1611.2,28.34
156.0,1610.3,27.84
156.0,1609.49,27.36
