"仪器信息控制器"
"设备名称","LiquiSonic Lab"
"编号",36916
"固件版本 V110.",40.354

"仪器信息传感器"
"固件版本 V210.",10.169
"编号",50627
"错误号",0x11030000

"温度T1",20.249
"温度T2",20.194

"产品名称","氯化钾在水中"
"数据组号","38.005"



日期和时间 ,浓度                 - 传感器 1 (50627),第二物理量 - 传感器 1 (50627),温度 - 传感器 1 (50627),声速 - 传感器 1 (50627),错误号 - 传感器 1 (50627),温度T1 - 传感器 1 (50627),温度T2 - 传感器 1 (50627),渡越时间 - 传感器 1 (50627),标准方差 - 传感器 1 (50627),dv/dt - 传感器 1 (50627),dT/dt - 传感器 1 (50627),Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,
2025-01-02 16:12:00,2.09,0.00,24.24,1509.64,0x00000000,24.250,24.201,7381.4,0.408,-1.9,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:12:30,2.09,0.00,24.23,1509.63,0x00000000,24.245,24.192,7381.5,0.353,-1.7,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:13:00,2.09,0.00,24.22,1509.56,0x00000000,24.233,24.183,7381.7,0.438,-2.9,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:13:30,2.09,0.00,24.21,1509.47,0x00000000,24.226,24.176,7382.1,0.390,-5.2,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:14:00,2.09,0.00,24.21,1509.54,0x00000000,24.219,24.169,7381.8,0.452,-2.1,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:14:30,2.09,0.00,24.20,1509.48,0x00000000,24.208,24.160,7382.0,0.325,-3.3,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:15:00,2.09,0.00,24.18,1509.45,0x00000000,24.196,24.151,7382.2,0.402,-3.7,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:15:30,2.09,0.00,24.18,1509.42,0x00000000,24.193,24.145,7382.3,0.439,-4.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:16:00,2.09,0.00,24.17,1509.46,0x00000000,24.186,24.136,7382.2,0.422,-2.2,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:16:30,2.09,0.00,24.17,1509.41,0x00000000,24.177,24.128,7382.3,0.496,-2.8,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:17:00,2.09,0.00,24.16,1509.38,0x00000000,24.170,24.120,7382.4,0.458,-3.1,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:17:30,2.09,0.00,24.15,1509.40,0x00000000,24.159,24.113,7382.4,0.492,-2.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:18:00,2.09,0.00,24.14,1509.37,0x00000000,24.153,24.104,7382.5,0.418,-2.2,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:18:30,2.09,0.00,24.13,1509.35,0x00000000,24.145,24.099,7382.6,0.424,-2.2,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:19:00,2.09,0.00,24.13,1509.29,0x00000000,24.138,24.091,7382.8,0.435,-3.4,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:19:30,2.09,0.00,24.12,1509.31,0x00000000,24.132,24.081,7382.7,0.479,-2.2,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:20:00,2.09,0.00,24.11,1509.27,0x00000000,24.123,24.073,7382.9,0.463,-2.8,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:20:30,2.09,0.00,24.10,1509.27,0x00000000,24.117,24.065,7382.9,0.440,-2.0,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:21:00,2.09,0.00,24.10,1509.25,0x00000000,24.109,24.057,7382.9,0.499,-2.0,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:21:30,2.09,0.00,24.09,1509.24,0x00000000,24.102,24.051,7383.0,0.480,-1.7,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:22:00,2.10,0.00,24.08,1509.19,0x00000000,24.093,24.046,7383.2,0.473,-2.8,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:22:30,2.09,0.00,24.07,1509.16,0x00000000,24.087,24.038,7383.3,0.595,-3.1,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:23:00,2.09,0.00,24.07,1509.16,0x00000000,24.079,24.031,7383.3,0.491,-2.6,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:23:30,2.09,0.00,24.06,1509.17,0x00000000,24.071,24.022,7383.3,0.618,-1.6,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:24:00,2.09,0.00,24.05,1509.11,0x00000000,24.065,24.016,7383.5,0.406,-2.8,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:24:30,2.09,0.00,24.05,1509.13,0x00000000,24.058,24.008,7383.4,0.518,-1.7,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:25:00,2.09,0.00,24.04,1509.08,0x00000000,24.052,24.000,7383.6,0.423,-2.6,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:25:30,2.09,0.00,24.03,1509.10,0x00000000,24.046,23.994,7383.6,0.432,-1.5,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:26:00,2.09,0.00,24.02,1509.07,0x00000000,24.036,23.986,7383.6,0.412,-1.6,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:26:30,2.09,0.00,24.02,1509.04,0x00000000,24.029,23.982,7383.8,0.460,-2.2,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:27:00,2.09,0.00,24.01,1509.05,0x00000000,24.025,23.973,7383.8,0.528,-1.4,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:27:30,2.09,0.00,24.01,1509.01,0x00000000,24.019,23.968,7383.9,0.444,-2.1,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:28:00,2.09,0.00,24.00,1509.00,0x00000000,24.010,23.959,7383.9,0.517,-1.6,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:28:30,2.09,0.00,23.99,1508.97,0x00000000,24.004,23.954,7384.1,0.481,-2.1,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:29:00,2.09,0.00,23.98,1508.94,0x00000000,23.997,23.947,7384.2,0.534,-2.5,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:29:30,2.10,0.00,23.98,1508.94,0x00000000,23.993,23.942,7384.2,0.543,-1.7,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:30:00,2.09,0.00,23.97,1508.92,0x00000000,23.983,23.934,7384.2,0.532,-1.9,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:30:30,2.09,0.00,23.97,1508.91,0x00000000,23.978,23.929,7384.3,0.409,-1.6,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:31:00,2.09,0.00,23.95,1508.88,0x00000000,23.963,23.919,7384.4,0.401,-2.1,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:31:30,2.09,0.00,23.95,1508.87,0x00000000,23.963,23.913,7384.4,0.504,-1.7,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:32:00,2.09,0.00,23.95,1508.85,0x00000000,23.963,23.909,7384.5,0.323,-1.8,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:32:30,2.10,0.00,23.94,1508.82,0x00000000,23.951,23.902,7384.7,0.475,-2.3,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:33:00,2.10,0.00,23.93,1508.79,0x00000000,23.943,23.896,7384.7,0.436,-2.5,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:33:30,2.10,0.00,23.93,1508.82,0x00000000,23.941,23.892,7384.6,0.405,-1.1,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:34:00,2.10,0.00,23.92,1508.78,0x00000000,23.934,23.881,7384.8,0.466,-2.0,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:34:30,2.10,0.00,23.92,1508.74,0x00000000,23.928,23.879,7385.0,0.421,-2.6,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:35:00,2.10,0.00,23.91,1508.76,0x00000000,23.919,23.868,7384.9,0.437,-1.4,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:35:30,2.10,0.00,23.90,1508.71,0x00000000,23.912,23.862,7385.1,0.490,-2.6,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:36:00,2.09,0.00,23.89,1508.70,0x00000000,23.906,23.858,7385.1,0.458,-2.2,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:36:30,2.10,0.00,23.90,1508.74,0x00000000,23.907,23.854,7385.0,0.381,-0.6,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:37:00,2.10,0.00,23.88,1508.68,0x00000000,23.894,23.844,7385.2,0.558,-1.7,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:37:30,2.10,0.00,23.87,1508.67,0x00000000,23.886,23.838,7385.2,0.434,-1.8,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:38:00,2.10,0.00,23.87,1508.61,0x00000000,23.883,23.833,7385.4,0.431,-2.9,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:38:30,2.10,0.00,23.87,1508.62,0x00000000,23.877,23.827,7385.4,0.473,-2.4,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:39:00,2.10,0.00,23.86,1508.59,0x00000000,23.871,23.825,7385.6,0.356,-2.8,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:39:30,2.10,0.00,23.85,1508.58,0x00000000,23.866,23.816,7385.6,0.562,-2.6,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:40:00,2.10,0.00,23.84,1508.58,0x00000000,23.856,23.807,7385.6,0.564,-2.2,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:40:30,2.10,0.00,23.84,1508.56,0x00000000,23.853,23.802,7385.6,0.473,-2.0,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:41:00,2.10,0.00,23.83,1508.53,0x00000000,23.846,23.798,7385.8,0.447,-2.6,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:41:30,2.10,0.00,23.83,1508.54,0x00000000,23.839,23.790,7385.7,0.529,-1.9,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:42:00,2.10,0.00,23.82,1508.49,0x00000000,23.832,23.782,7385.9,0.522,-2.8,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:42:30,2.10,0.00,23.82,1508.52,0x00000000,23.828,23.779,7385.8,0.556,-1.3,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:43:00,2.10,0.00,23.81,1508.46,0x00000000,23.824,23.772,7386.0,0.482,-2.7,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:43:30,2.10,0.00,23.80,1508.45,0x00000000,23.816,23.767,7386.1,0.427,-2.5,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:44:00,2.10,0.00,23.80,1508.43,0x00000000,23.809,23.763,7386.2,0.536,-2.7,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:44:30,2.10,0.00,23.79,1508.47,0x00000000,23.804,23.755,7386.0,0.454,-1.2,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:45:00,2.10,0.00,23.79,1508.43,0x00000000,23.800,23.752,7386.2,0.415,-1.8,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:45:30,2.10,0.00,23.78,1508.38,0x00000000,23.792,23.742,7386.4,0.501,-2.8,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:46:00,2.10,0.00,23.78,1508.39,0x00000000,23.788,23.736,7386.3,0.344,-2.2,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:46:30,2.10,0.00,23.77,1508.37,0x00000000,23.782,23.734,7386.4,0.355,-2.3,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:47:00,2.10,0.00,23.76,1508.32,0x00000000,23.775,23.726,7386.6,0.466,-3.2,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:47:30,2.10,0.00,23.76,1508.35,0x00000000,23.770,23.721,7386.5,0.493,-1.9,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:48:00,2.10,0.00,23.75,1508.33,0x00000000,23.765,23.715,7386.6,0.416,-2.0,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:48:30,2.10,0.00,23.75,1508.33,0x00000000,23.762,23.712,7386.5,0.443,-1.5,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:49:00,2.10,0.00,23.74,1508.31,0x00000000,23.754,23.704,7386.6,0.564,-1.8,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:49:30,2.10,0.00,23.74,1508.31,0x00000000,23.750,23.700,7386.6,0.420,-1.3,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:50:00,2.10,0.00,23.73,1508.26,0x00000000,23.746,23.694,7386.9,0.431,-2.5,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:50:30,2.10,0.00,23.73,1508.23,0x00000000,23.738,23.687,7387.0,0.523,-2.8,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:51:00,2.10,0.00,23.72,1508.26,0x00000000,23.731,23.682,7386.8,0.358,-1.5,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:51:30,2.10,0.00,23.71,1508.22,0x00000000,23.724,23.679,7387.0,0.403,-2.2,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:52:00,2.10,0.00,23.71,1508.22,0x00000000,23.723,23.672,7387.0,0.453,-1.6,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:52:30,2.10,0.00,23.71,1508.24,0x00000000,23.718,23.668,7386.9,0.648,-0.7,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:53:00,2.10,0.00,23.70,1508.23,0x00000000,23.711,23.661,7386.9,0.540,-0.4,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:53:30,2.10,0.00,23.69,1508.17,0x00000000,23.705,23.656,7387.2,0.507,-1.9,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:54:00,2.10,0.00,23.69,1508.15,0x00000000,23.700,23.652,7387.3,0.468,-2.2,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:54:30,2.10,0.00,23.68,1508.12,0x00000000,23.696,23.645,7387.4,0.418,-2.4,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:55:00,2.10,0.00,23.68,1508.11,0x00000000,23.690,23.638,7387.4,0.435,-2.5,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:55:30,2.10,0.00,23.67,1508.10,0x00000000,23.683,23.633,7387.4,0.385,-2.1,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:56:00,2.10,0.00,23.67,1508.12,0x00000000,23.683,23.632,7387.4,0.565,-1.3,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:56:30,2.10,0.00,23.66,1508.12,0x00000000,23.670,23.621,7387.4,0.399,-0.7,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:57:00,2.10,0.00,23.66,1508.05,0x00000000,23.669,23.616,7387.7,0.469,-2.5,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:57:30,2.10,0.00,23.65,1508.07,0x00000000,23.665,23.613,7387.6,0.476,-1.6,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:58:00,2.10,0.00,23.64,1508.02,0x00000000,23.655,23.606,7387.8,0.369,-2.6,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:58:30,2.10,0.00,23.64,1508.03,0x00000000,23.652,23.605,7387.7,0.479,-1.7,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:59:00,2.10,0.00,23.64,1507.99,0x00000000,23.649,23.598,7387.9,0.377,-2.7,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 16:59:30,2.10,0.00,23.63,1507.96,0x00000000,23.642,23.595,7388.0,0.406,-3.0,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 17:00:00,2.10,0.00,23.63,1507.99,0x00000000,23.639,23.589,7387.9,0.531,-1.7,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 17:00:30,2.10,0.00,23.62,1507.96,0x00000000,23.634,23.584,7388.0,0.496,-2.1,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 17:01:00,2.10,0.00,23.62,1507.95,0x00000000,23.629,23.578,7388.0,0.383,-2.1,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02 17:01:30,2.10,0.00,23.61,1507.93,0x00000000,23.622,23.572,7388.1,0.510,-2.2,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
